convoid,person,dialogue
1,Prospect,Doug Markham.
1,SDR,"Morning, Doug. How are you?"
1,Prospect,I'm fine. How are you?
1,SDR,"Good. Good. Doing good, Doug. So, Doug, Josh again from Contango. I did speak to you, I guess not last week. Last week, you were really traveling at that time. I caught you on a Friday, and you were really busy, so you asked me to call back after some time. So, Doug, again, like calling from Contango, I did send you that email once again, and you said you'd check it over the weekend. I don't know if you've checked that or not, but we are a full-service IT provider. The reason I was calling today is I just wanted to quickly set up a 15-20 minute call with one of my senior account guys. We can tell you more about what Contango IT is, what we do, and how we do it. I really think, because we have been working with similar companies like yours, that we can add value to your business. It's not something I want to sell to you right at the moment; it's more about understanding your business a little bit more and you understanding our products and services. I just need 20 minutes of your time to explain a little bit more about Contango."
1,Prospect,"What is your specialty? I mean, walk me through your developers, your IT resource. What's your suite?"
1,SDR,"Well, if I talk about the services and products, Doug, we are a 100-person company with four different departments, covering everything from networks to outsourced CIO to help desk to application programming, infrastructure, everything A to Z in IT services. Honestly, getting into the tech details of these products and services, I would love to answer all your questions, but I'm not the correct person to do that. That's why I wanted someone senior from my team to tell you what we can do for you and how we can add value to your business. We're not the kind of company that just picks up the phone and sells something right away."
1,Prospect,"Well, this week, I mean, probably the best thing to do is get a debrief and then.."
1,SDR,"Yeah, yeah. We can possibly give you the first introduction, and if required, we can pull in anyone else from your company to go into a more detailed discussion. Generally, what we do is have the first discovery call, and then we can give you something like a need assessment. That's what we call it, and then we can go from there. So this first call is just a discovery call."
1,Prospect,"Friday, I'm kind of open from 11:30 till 1:30 Central Time. See if a little 15-minute window fits in there."
1,SDR,"Yeah, 11:30."
1,Prospect,You said 11:30 to 1:30 Central. I am open this Friday the 17th.
1,SDR,"Friday the 17th, right? Yep, yep. That's no problem. I can speak to one of the best people from my team, the senior guys, and try to get them on the call. I'll try to get the best one. And last time I checked, you were about 40 people in the office, or has that increased, decreased in any way?"
1,Prospect,That's accurate.
1,SDR,That's accurate. And how do you currently manage your IT? Is it something that you do a little bit in-house and a little bit outsourced?
1,Prospect,"Our VP of engineering does it all. That's what I'm saying, he drives it."
1,SDR,"I get that. And you are headquartered in Canada with another four locations, one in Nashville, Tennessee, and others in Tennessee and Miami."
1,Prospect,We're North America.
1,SDR,"Yep, yep, yep. Cool. No problem, Doug. And your email is Doug at wise docs AI?"
1,Prospect,"Right, just send me an invite if a 15-minute window fits on the 17th between those hours."
1,SDR,"Yeah, definitely. I will do that. No problem."
1,Prospect,And then I'll push you over to our VP of engineering to dig a little deeper.
1,SDR,"Yeah, sure. We can definitely do that. Okay. All right, sounds good. Thanks. You have a nice day. Bye bye."
1,Prospect,You too. Take care.
2,SDR,"Hi, good afternoon. Am I speaking to Justin?"
2,Prospect,Yes.
2,SDR,"Hi, Justin. Josh from Contango. How are you?"
2,Prospect,"Good, how are you?"
2,SDR,"Doing great, great. Doing good, Justin. Thanks for asking. So, Justin, just a quick one. I had actually sent you an email a few days back, so I was just trying to reach out to you to see if you've got the email. And did you get a chance to look at that?"
2,Prospect,Okay. I'm still catching up on emails. Who did it come from?
2,SDR,That's Contango.
2,Prospect,Contango. How do you spell that?
2,SDR,That's C-O-N-T-A-N-G-O.
2,Prospect,And you said it was a few days ago?
2,SDR,"Yeah, a few days ago."
2,Prospect,You said C-A-N-G-O?
2,SDR,C-O-N-T-A-N-G-O.
2,Prospect,I'm not getting anything. Come up. C-O-N-T-A-N-G-O.
2,SDR,Yep.
2,Prospect,Okay. Nothing's coming up.
2,SDR,"No, never mind. Never mind. I can resend you the email."
2,Prospect,"Okay, what's it regarding?"
2,SDR,"Yeah, that's where I was coming to. So, as I'm calling from Contango, Justin, we are a full-service IT company, and we have been working with firms like yours. They are really happy customers. The reason for my call today is I just wanted to have a quick 20 minutes sometime next week where I can possibly get one of my senior account guys on the call and explain more about what Contango IT is, what we do, and how we do it. I'd be very confident in saying we can definitely add value to your business because we have been working with similar customers like yours. So I was just looking to see if we can have 20 minutes of your time sometime next week."
2,Prospect,"Okay, let's see here."
2,SDR,"Probably, like, next Thursday, the 16th."
2,Prospect,Okay. And you said you're an IT company?
2,SDR,"IT company. Right. I will definitely send that email once again, and you can go through all the website and things like that."
2,Prospect,"Okay. All right, let's start off with that, and I'll let you know what we're thinking."
2,SDR,"Okay, so let me send you this calendar invite for next Thursday, the 16th, with all the information, probably around 3:00 PM after lunchtime when you're not really super busy, and then we can go from there."
2,Prospect,"Okay, sounds good."
3,Prospect,Hey.
3,SDR,"Hi, mister. This is Amir with Growfin AI. I've called you completely out of the blue here today. We've never spoken before. Is this a good time to speak very briefly, or have I called you at the worst minute today?"
3,Prospect,"Very briefly. Very briefly. Sorry, I didn't catch your name."
3,SDR,My name is Amir and I'm with Growfin AI. Growfin. Does that name ring a bell at all?
3,Prospect,Grillfin? No.
3,SDR,"Okay, so I'm gonna be really brief, mister. I have been on your LinkedIn. I have seen you've got tremendous endorsements in terms of account receivables. I see your experience. I had a couple of quick questions. One thing I hear a lot from collection managers is that it's a top priority to keep past due payments less compared to outstanding receivables. How do you go about doing that today, Mister Silver?"
3,Prospect,"Well, obviously we have a team, but.. So, Amir, are you selling something? Do you have a service? What is this in regards to?"
3,SDR,"Service, obviously this is a cold call. I want to gain insights. But to be really transparent, we have built an AR automation solution which is purpose-built for account receivables. It integrates with your system, pulls in data, pulls out data, and it sort of streamlines the entire end-to-end AR process, including cash applications, reconciliations, and so forth. Given your experience, I was wondering if you'd be inclined towards perhaps, maybe exploring—not purchasing—not talking about, hey, we want to purchase this, nothing like that. Just exploring what we offer and see if there's some sort of technical fitment. And perhaps, in the worst case scenario, we'll just part ways as friends."
3,Prospect,"So the only thing I can suggest at this point, Amir, is to send us any information, literature, documents, anything that you can, and we will have to take a look at it from our end. Right now, you know, it's the end of the year, end of the quarter coming up. It's a very busy time. I won't be able to look at anything until the new year. But if you want to send us something, by all means, send us what you have and we will eventually take a look at it."
3,SDR,"Absolutely. Is there anything specific, based on challenges, based on what you foresee coming up in the upcoming quarters, any challenges in particular? Anything in particular you're looking for in this email?"
3,Prospect,"No. Just to see what you guys offer. I mean, there's a lot of businesses and a lot of software out there that do the exact same thing. And we're always open to something if it's worth it for us. So if you want to send me something, we'll definitely take a look at it."
3,SDR,"Absolutely. Will do. To give you some context, just so my email stands out from others—I believe you get a whole bunch of these emails and calls—we are a collaboration-first solution. What we recognize is there's a silo between the sales team and the finance teams. Finance cannot collaborate with sales except for over emails like Slack or phone calls or whatnot. So the AR solution that I'm talking about, Growfin, is a collaboration-first AR solution. It sort of gives you that front to collaborate with your sales teams as well. I know it's the end of the month, it's also the end of the year. Next year, in the first week of January, you'll probably be tied up with closing as well. I promise I won't take much of your time—perhaps maybe in the second week of January. 15 minutes is all I ask, 15 minutes."
3,Prospect,"I'll be honest with you, I won't be available in December. If anything happens, it will have to be in the new year."
3,SDR,"Understood. Got it. New year it is then. So I'm going to send you an email. Is it okay if I place a placeholder on your calendar for the second week of January? The reason I'm saying this is because I don't want to make it sound like a cold call again when I reach out to you in January. I'll follow up with you multiple times over email. I'll send you some beautiful stuff, literature about what we do, keep you engaged. And come January, we could absolutely just set up 15 to 20 minutes. We give you a brief, see if there's technical fitment, and then if you're interested, we could perhaps keep the conversation going. Sounds good?"
3,Prospect,"That's fine. And it's Grillfin, G-R-I-L..?"
3,SDR,"If you're in front of your system, I would encourage you to go to Growfin dot AI."
3,Prospect,"Growfin dot AI? Yep. Okay. All right, send me what you have and we'll take a look at it."
3,SDR,"Can I also set a placeholder on your calendar? If you permit me, for January 10th, which is the second week. It's a Wednesday, perhaps maybe 11:00 AM. I'm not sure."
3,Prospect,How about the third week? Do the third week of January.
3,SDR,Third week of January. Wednesday works fine? Or are Fridays better for you?
3,Prospect,Probably Wednesdays.
3,SDR,Wednesday. And what time zone are you in?
3,Prospect,Eastern time zone.
3,SDR,"Eastern time zone. Would 11:00 AM be too early, or do you prefer post-lunch, around 2:00 PM or so?"
3,Prospect,"No, 11:00 is fine."
